Date,D1,D2,D3,Week,Month,Year,Temp-Btm(F),Temp-Brood(F),Temp-Hive(F),BRH(%),HRH(%),Weight(lbs)
4-4-2017,1,1,1,14,4,2017,72.3,94.3,72.6,47.5,47.0,61.5
5-4-2017,1,1,1,14,4,2017,72.5,94.0,72.2,48.3,43.1,64.7
6-4-2017,1,1,1,14,4,2017,65.4,92.4,72.4,44.7,46.0,64.6
7-4-2017,1,1,1,14,4,2017,56.3,89.9,71.6,27.0,30.7,64.9
8-4-2017,1,1,1,14,4,2017,54.8,91.2,71.3,30.7,25.1,64.2
9-4-2017,1,1,1,15,4,2017,61.3,92.9,71.7,37.1,28.2,64.0
10-4-2017,1,1,1,15,4,2017,67.6,92.1,72.6,39.0,33.1,59.3
11-4-2017,1,1,1,15,4,2017,71.4,89.7,72.4,49.8,41.7,52.1
12-4-2017,1,1,1,15,4,2017,73.9,92.3,73.0,52.2,44.3,54.7
13-4-2017,1,1,1,15,4,2017,71.9,91.4,73.1,51.4,44.0,56.3
14-4-2017,1,1,1,15,4,2017,70.1,91.3,72.6,48.0,39.1,57.0
15-4-2017,1,1,1,15,4,2017,74.3,92.6,72.7,51.8,49.3,57.3
16-4-2017,1,1,1,16,4,2017,74.6,92.3,72.9,48.9,48.7,57.8
17-4-2017,1,1,1,16,4,2017,74.0,92.7,73.0,48.0,47.8,58.2
18-4-2017,1,1,1,16,4,2017,70.8,92.6,73.4,53.3,54.7,58.5
19-4-2017,1,1,1,16,4,2017,64.3,90.8,72.0,52.9,43.8,58.8
20-4-2017,1,1,1,16,4,2017,70.8,91.9,72.3,54.0,52.2,55.6
21-4-2017,1,1,1,16,4,2017,77.9,95.3,72.7,53.0,50.0,59.1
22-4-2017,1,1,1,16,4,2017,74.6,94.8,72.0,55.1,49.8,59.0
23-4-2017,1,1,1,17,4,2017,57.8,92.7,71.8,48.8,46.2,59.8
24-4-2017,1,1,1,17,4,2017,55.8,92.4,71.7,46.6,44.5,59.2
25-4-2017,1,1,1,17,4,2017,63.1,92.9,71.5,49.3,48.2,57.8
26-4-2017,1,1,1,17,4,2017,69.7,93.8,72.0,53.4,52.0,57.15
27-4-2017,1,1,1,17,4,2017,73.2,93.7,72.6,53.5,55.0,58.9
28-4-2017,1,1,1,17,4,2017,79.2,94.9,72.9,54.4,57.9,59.0
29-4-2017,1,1,1,17,4,2017,82.2,95.4,72.9,54.8,55.7,59.1
