temperatura interna,temperatura externa
36.29,32.44
36.07,34.5
35.77,35.94
35.79,35.34
35.23,34.05
34.96,34.38
35.19,32.66
34.98,33.86
35.28,32.61
35.36,32.89
34.89,32.85
35.04,31.13
34.7,30.14
35.71,28.62
34.63,27.01
34.27,27.46
34.03,27.5
34.46,26.21
35.23,26.98
37.25,26.73
36.87,26.68
35.28,26.62
35.34,26.3
34.55,26.3
33.56,25.87
34.07,25.16
34.18,25.01
34.53,24.81
34.31,24.11
34.42,24.36
34.46,24.49
35.49,23.85
35.64,24.11
34.48,23.93
35.41,23.74
34.7,23.5
34.12,23.29
34.4,23.44
34.2,24.08
33.11,25.59
35.17,27.07
35.79,28.34
36.63,28.57
35.45,29.86
35.11,31.6
37.1,32.63
35.41,33.52
35.51,34.18
37.1,34.31
34.85,33.69
35.13,34.38
37.1,33.06
34.53,33.6
35.79,33.17
35.81,33.64
34.96,33.39
34.61,31.71
34.74,30.01
34.07,29.46
35.26,28.21
34.33,28.62
34.55,28.7
34.59,28.38
34.8,28.38
35.02,28.1
34.85,27.5
35.08,27.31
34.93,27.37
34.16,27.16
34.78,26.21
34.44,25.8
34.72,25.89
34.22,25.7
34.07,25.8
37.1,25.76
34.59,25.65
34.98,25.52
34.8,25.22
33.88,25.27
34.61,25.2
34.7,24.62
34.31,24.28
34.07,23.91
34.12,24.19
33.71,24.38
34.42,24.96
33.45,25.63
33.88,26.25
34.16,27.13
34.33,27.99
34.31,29.18
34.48,31.04
34.2,31.65
34.59,33.47
34.98,34.4
34.68,34.35
34.96,33.28
34.89,33.15
35.04,32.79
35.04,32.76
34.22,32.61
34.29,33
34.38,31.71
34.48,30.94
34.78,28.72
34.78,27.78
34.48,26.88
34.68,27.05
34.74,27.2
34.8,27.11
34.46,27.13
34.55,26.81
34.01,26.43
34.59,26.32
34.33,26.66
34.63,26.71
34.33,26.75
34.76,26.58
34.57,25.54
34.57,26.15
34.63,25.46
34.35,25.54
34.53,25.39
34.46,25.39
34.48,25.37
34.18,25.2
34.53,25.2
34.05,25.31
34.5,25.18
34.14,24.99
34.18,25.35
34.14,25.63
34.27,26.08
34.01,26.55
34.31,27.24
34.07,27.44
34.44,28.04
33.75,28.64
33.88,29.93
34.27,30.89
34.72,32.51
35.17,33.88
35.15,34.63
35.34,33.41
34.7,33.71
34.1,33.02
34.5,33.86
34.72,33.67
35.26,33.24
35.6,33.79
35.21,31.22
34.25,30.19
34.74,29.73
34.57,29
34.57,28.55
34.65,28.6
33.88,28.4
34.38,27.95
34.55,27.26
34.63,27.31
34.8,26.71
34.48,26.79
34.35,26.9
34.5,26.47
34.46,26.43
33.77,26.58
34.31,26.58
34.61,26.66
34.8,26.64
34.89,26.53
37.1,26.36
34.29,25.74
34.31,25.18
34.59,25.42
34.27,25.09
34.42,25.27
34.12,25.22
34.1,25.35
34.4,25.48
34.14,25.91
34.29,26.28
33.43,26.68
37.1,27.39
33.62,28.04
34.83,28.68
33.86,28.47
33.84,30.66
34.25,30.62
33.88,33.19
34.16,33.92
34.46,32.91
34.07,33.3
35.08,33.56
35.43,32.76
35.36,32.98
33.95,32.4
35.32,33.34
34.12,32.29
34.31,31.69
35.06,30.92
34.72,30.31
34.65,29.2
34.96,29.3
35,27.89
34.48,27.71
34.22,27.59
34.44,27.03
34.4,27.13
37.1,27.07
34.42,26.75
34.18,26.75
34.31,26.51
34.1,26.68
34.44,26.38
34.33,26.3
34.2,26.36
34.42,25.93
34.46,25.44
34.1,25.29
34.57,25.22
34.5,25.16
34.5,25.18
34.33,24.81
34.31,24.75
34.12,24.71
34.16,24.62
33.73,24.9
33.75,25.27
33.56,26.12
34.07,26.77
33.73,27.05
33.64,27.31
33.92,28.12
34.46,29.37
34.4,29.67
34.61,31
35.15,32.42
34.7,33.41
34.22,32.68
34.12,32.74
34.2,32.76
34.44,32.72
34.1,32.85
34.31,33.67
34.83,33.15
34.63,32.59
34.76,31.39
34.63,30.55
34.1,29.11
34.48,28.98
34.8,27.76
34.61,27.84
34.78,27.61
34.42,27.13
34.33,26
34.14,26.51
33.92,26.38
34.38,26.55
34.44,26.45
34.42,26.77
34.22,26.55
33.77,26.58
33.95,26.36
