date,Month,hive_weight,hive_temperature,hive_humidity,ambient_temperature,ambient_humidity,ambient_luminosity,ambient_rain,wx_temp,wx_humidity,wx_wind,wx_gusts,wx_direction,wx_dewpoint,wx_pressure,wx_rain,battery,KMeansLabel,Estacao
2017-03-01 00:00:01,3,26.52,6.8,69.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:05:01,3,26.46,6.9,69.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:10:01,3,26.44,6.8,69.0,3.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:15:02,3,26.42,6.8,69.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:20:01,3,26.35,6.9,69.0,3.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:25:01,3,26.44,6.8,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:30:01,3,26.41,6.7,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:35:01,3,26.43,6.7,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:40:01,3,26.44,6.7,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:45:01,3,26.47,6.7,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:50:01,3,26.46,6.6,68.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 00:55:01,3,26.42,6.8,68.0,2.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:00:01,3,26.48,6.8,69.0,2.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:05:01,3,26.5,6.9,69.0,2.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:10:01,3,26.48,6.6,69.0,2.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:15:01,3,26.46,6.8,70.0,2.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:20:02,3,26.44,6.8,70.0,2.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:25:01,3,26.37,6.7,70.0,2.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:30:01,3,26.48,6.6,70.0,2.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:35:01,3,26.48,6.7,70.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:40:01,3,26.46,7.0,72.0,3.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:45:02,3,26.49,6.8,71.0,3.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:50:01,3,26.42,6.9,72.0,3.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 01:55:01,3,26.44,6.7,72.0,3.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:00:01,3,26.46,6.7,71.0,3.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:05:01,3,26.46,6.9,71.0,3.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:10:01,3,26.5,7.0,71.0,3.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:15:01,3,26.39,7.0,71.0,3.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:20:01,3,26.41,7.0,71.0,3.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:25:01,3,26.45,7.2,72.0,3.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:30:01,3,26.39,7.2,72.0,4.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:35:01,3,26.38,7.3,72.0,4.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:40:01,3,26.41,7.4,73.0,4.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:45:01,3,26.42,7.4,74.0,4.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:50:01,3,26.4,7.4,74.0,4.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 02:55:01,3,26.36,7.5,74.0,4.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:00:01,3,26.36,7.5,75.0,4.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:05:01,3,26.42,7.5,75.0,4.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:10:01,3,26.42,7.5,76.0,4.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:15:01,3,26.42,7.5,76.0,4.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:20:01,3,26.44,7.5,76.0,4.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:25:01,3,26.34,7.6,77.0,4.7,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:30:01,3,26.36,7.6,78.0,4.8,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:35:01,3,26.31,7.6,79.0,4.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:40:02,3,26.37,7.6,79.0,4.9,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:45:01,3,26.43,7.6,80.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:50:01,3,26.54,7.5,81.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 03:55:01,3,26.35,7.5,81.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:00:01,3,26.46,7.5,82.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:05:01,3,26.41,7.4,82.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:10:01,3,26.46,7.5,82.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:15:01,3,26.39,7.4,83.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:20:01,3,26.39,7.4,83.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:25:01,3,26.46,7.5,84.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:30:01,3,26.43,7.4,84.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:35:01,3,26.46,7.4,85.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:40:01,3,26.41,7.4,85.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:45:01,3,26.38,7.5,85.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:50:01,3,26.38,7.4,86.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 04:55:01,3,26.4,7.4,86.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:00:01,3,26.39,7.4,86.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:05:01,3,26.34,7.4,86.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:10:01,3,26.4,7.5,86.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:15:01,3,26.45,7.5,86.0,5.0,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:20:01,3,26.42,7.5,87.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:25:01,3,26.4,7.5,87.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:30:01,3,26.36,7.4,87.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:35:01,3,26.42,7.5,87.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:40:01,3,26.43,7.5,87.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:45:01,3,26.41,7.4,88.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:50:01,3,26.42,7.5,88.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 05:55:01,3,26.48,7.4,88.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:00:01,3,26.49,7.4,88.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:05:01,3,26.48,7.5,88.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:10:01,3,26.39,7.5,88.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:15:01,3,26.39,7.5,89.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:20:01,3,26.43,7.6,89.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:25:01,3,26.33,7.8,89.0,5.1,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:30:01,3,26.4,7.7,89.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:35:01,3,26.45,7.6,89.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:40:01,3,26.38,7.6,90.0,5.2,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:45:01,3,26.4,7.6,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:50:02,3,26.42,7.7,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 06:55:01,3,26.35,7.6,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:00:01,3,26.49,7.7,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:05:01,3,26.44,7.7,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:10:01,3,26.39,7.8,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:15:01,3,26.44,7.8,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:20:01,3,26.34,7.8,90.0,5.3,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:25:01,3,26.41,7.6,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:30:01,3,26.44,7.7,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:35:02,3,26.4,7.8,89.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:40:01,3,26.4,7.9,89.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:45:01,3,26.4,7.8,89.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:50:01,3,26.44,7.8,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 07:55:01,3,26.42,7.9,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:00:01,3,26.39,7.8,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:05:01,3,26.35,7.8,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:10:01,3,26.42,7.9,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:15:02,3,26.37,8.1,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:20:01,3,26.39,8.0,90.0,5.4,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:25:01,3,26.31,7.9,90.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:30:01,3,26.41,7.9,90.0,5.5,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:35:01,3,26.4,7.8,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
2017-03-01 08:40:01,3,26.39,7.8,90.0,5.6,100.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1
